order,english_name,Flag,breeds,SAR,Sensitive candidate?
297,Eastern Phoebe,‡ ,1,,
301,Great Crested Flycatcher,‡ ,1,,
307,Western Kingbird,†,1,,
308,Eastern Kingbird,‡ ,1,,
312,Loggerhead Shrike,†,1,END,
313,Northern Shrike,†,1,,
315,White-eyed Vireo,†,1,,
317,Yellow-throated Vireo,‡ ,1,,
318,Blue-headed Vireo,‡ ,1,,
320,Philadelphia Vireo,‡ ,1,,
321,Warbling Vireo,‡ ,1,,
322,Red-eyed Vireo,‡ ,1,,
323,Canada Jay,‡ ,1,,
324,Blue Jay,‡ ,1,,
326,Black-billed Magpie,‡ ,1,,
328,American Crow,‡ ,1,,
329,Fish Crow,†,1,,
330,Common Raven,‡ ,1,,
331,Horned Lark,§,1,,
332,Purple Martin,§,1,,
333,Tree Swallow,‡ ,1,,
335,Northern Rough-winged Swallow,‡ ,1,,
336,Bank Swallow,§,1,THR,
337,Cliff Swallow,§,1,,
339,Barn Swallow,§,1,THR,
341,Black-capped Chickadee,‡ ,1,,
342,Boreal Chickadee,‡ ,1,,
343,Tufted Titmouse,‡ ,1,,
344,Red-breasted Nuthatch,‡ ,1,,
345,White-breasted Nuthatch,‡ ,1,,
346,Brown Creeper,‡ ,1,,
348,House Wren,‡ ,1,,
349,Winter Wren,‡ ,1,,
350,Sedge Wren,‡ ,1,,
351,Marsh Wren,‡ ,1,,
352,Carolina Wren,‡ ,1,,
353,Bewick's Wren,†,1,,
354,Blue-gray Gnatcatcher,‡ ,1,,
355,Golden-crowned Kinglet,‡ ,1,,
356,Ruby-crowned Kinglet,‡ ,1,,
358,Northern Wheatear,†,1,,
359,Eastern Bluebird,‡ ,1,,
362,Veery,‡ ,1,,
363,Gray-cheeked Thrush,†,1,,
365,Swainson's Thrush,‡ ,1,,
366,Hermit Thrush,‡ ,1,,
367,Wood Thrush,§,1,THR,
370,American Robin,‡ ,1,,
372,Gray Catbird,‡ ,1,,
373,Brown Thrasher,‡ ,1,,
375,Northern Mockingbird,‡ ,1,,
376,European Starling,‡ ,1,,
377,Bohemian Waxwing,†,1,,
378,Cedar Waxwing,‡ ,1,,
380,House Sparrow,‡ ,1,,
383,American Pipit,§,1,,
386,Evening Grosbeak,§,1,SC,
387,Pine Grosbeak,†,1,,
389,House Finch,‡ ,1,,
390,Purple Finch,‡ ,1,,
392,Common Redpoll,‡ ,1,,
393,Hoary Redpoll,†,1,,
394,Red Crossbill,§,1,,
395,White-winged Crossbill,‡ ,1,,
396,Pine Siskin,§,1,,
398,American Goldfinch,‡ ,1,,
399,Lapland Longspur,†,1,,
401,Smith's Longspur,§,1,,
406,Eastern Towhee,§,1,,
409,American Tree Sparrow,§,1,,
410,Chipping Sparrow,‡ ,1,,
411,Clay-colored Sparrow,‡ ,1,,
413,Field Sparrow,§,1,,
414,Vesper Sparrow,‡ ,1,,
415,Lark Sparrow,†,1,,
418,Savannah Sparrow,‡ ,1,,
420,Grasshopper Sparrow,§,1,SC,
422,Henslow's Sparrow,†,1,END,
423,LeConte's Sparrow,§,1,,
424,Nelson's Sparrow,§,1,,
425,Fox Sparrow,‡ ,1,,
426,Song Sparrow,‡ ,1,,
427,Lincoln's Sparrow,‡ ,1,,
428,Swamp Sparrow,‡ ,1,,
429,White-throated Sparrow,‡ ,1,,
430,Harris's Sparrow,†,1,SC,
431,White-crowned Sparrow,‡ ,1,,
433,Dark-eyed Junco,‡ ,1,,
436,Yellow-breasted Chat,†,1,END,
437,Yellow-headed Blackbird,†,1,,
438,Bobolink,§,1,THR,
439,Eastern Meadowlark,§,1,THR,
440,Western Meadowlark,†,1,,
441,Orchard Oriole,‡ ,1,,
444,Baltimore Oriole,‡ ,1,,
446,Red-winged Blackbird,‡ ,1,,
447,Brown-headed Cowbird,‡ ,1,,
448,Rusty Blackbird,§,1,SC,
449,Brewer's Blackbird,§,1,,
450,Common Grackle,‡ ,1,,
452,Ovenbird,‡ ,1,,
454,Louisiana Waterthrush,†,1,THR,
455,Northern Waterthrush,‡ ,1,,
456,Golden-winged Warbler,†,1,THR,
457,Blue-winged Warbler,‡ ,1,,
458,Black-and-white Warbler,‡ ,1,,
459,Prothonotary Warbler,†,1,END,
461,Tennessee Warbler,‡ ,1,,
462,Orange-crowned Warbler,‡ ,1,,
463,Nashville Warbler,‡ ,1,,
465,Connecticut Warbler,§,1,,
466,Mourning Warbler,‡ ,1,,
468,Common Yellowthroat,‡ ,1,,
469,Hooded Warbler,‡ ,1,,
470,American Redstart,‡ ,1,,
471,Kirtland's Warbler,†,1,END,
472,Cape May Warbler,‡ ,1,,
473,Cerulean Warbler,†,1,END,
474,Northern Parula,‡ ,1,,
475,Magnolia Warbler,‡ ,1,,
476,Bay-breasted Warbler,‡ ,1,,
477,Blackburnian Warbler,‡ ,1,,
478,Yellow Warbler,‡ ,1,,
479,Chestnut-sided Warbler,‡ ,1,,
480,Blackpoll Warbler,§,1,,
481,Black-throated Blue Warbler,‡ ,1,,
482,Palm Warbler,‡ ,1,,
483,Pine Warbler,‡ ,1,,
484,Yellow-rumped Warbler,‡ ,1,,
487,Prairie Warbler,†,1,,
492,Black-throated Green Warbler,‡ ,1,,
493,Canada Warbler,§,1,THR,
494,Wilson's Warbler,‡ ,1,,
497,Scarlet Tanager,‡ ,1,,
499,Northern Cardinal,‡ ,1,,
501,Rose-breasted Grosbeak,‡ ,1,,
505,Indigo Bunting,‡ ,1,,
508,Dickcissel,†,1,,
1,Black-bellied Whistling-Duck,†,0,,
2,Fulvous Whistling-Duck,†,0,,
5,Greater White-fronted Goose,†,0,,
6,Pink-footed Goose,†,0,,
7,Brant,†,0,,
9,Barnacle Goose,†,0,,
17,Garganey,†,0,,
22,Eurasian Wigeon,†,0,,
26,Mottled Duck,†,0,,
33,Tufted Duck,†,0,,
38,Harlequin Duck,†,0,SC,
45,Barrow's Goldeneye,†,0,SC,
46,Smew,†,0,,
57,Rock Ptarmigan,†,0,,
65,Western Grebe,†,0,SC,
67,Band-tailed Pigeon,†,0,SC,
70,Inca Dove,†,0,,
71,Common Ground Dove,†,0,,
76,Groove-billed Ani,†,0,,
77,Lesser Nighthawk,†,0,,
79,Common Poorwill,†,0,,
82,Black Swift,†,0,END,
83,White-collared Swift,†,0,,
85,Mexican Violetear,†,0,,
87,Black-chinned Hummingbird,†,0,,
88,Anna's Hummingbird,†,0,,
89,Rufous Hummingbird,†,0,,
90,Broad-billed Hummingbird,†,0,,
92,Black Rail,†,0,,
96,Purple Gallinule,†,0,,
100,Whooping Crane,†,0,END,
103,American Oystercatcher,†,0,,
104,Black-bellied Plover,†,0,,
106,Lesser Sand-Plover,†,0,,
107,Snowy Plover,†,0,,
108,Wilson's Plover,†,0,,
109,Common Ringed Plover,†,0,,
113,Eurasian Dotterel,†,0,,
117,Eskimo Curlew,†,0,END,
118,Long-billed Curlew,†,0,SC,
119,Slender-billed Curlew,†,0,,
120,Black-tailed Godwit,†,0,,
123,Ruddy Turnstone,†,0,,
124,Red Knot,†,0,END,
125,Ruff,†,0,,
126,Sharp-tailed Sandpiper,†,0,,
128,Curlew Sandpiper,†,0,,
129,Sanderling,†,0,,
132,Purple Sandpiper,†,0,,
133,Baird's Sandpiper,†,0,,
134,Little Stint,†,0,,
136,White-rumped Sandpiper,†,0,,
137,Buff-breasted Sandpiper,†,0,SC,
140,Western Sandpiper,†,0,,
142,Long-billed Dowitcher,†,0,,
148,Wandering Tattler,†,0,,
150,Willet,†,0,,
151,Spotted Redshank,†,0,,
155,Red Phalarope,†,0,,
156,Pomarine Jaeger,†,0,,
158,Long-tailed Jaeger,†,0,,
159,Dovekie,†,0,,
160,Thick-billed Murre,†,0,,
161,Razorbill,†,0,,
163,Long-billed Murrelet,†,0,,
164,Ancient Murrelet,†,0,SC,
165,Atlantic Puffin,†,0,,
166,Black-legged Kittiwake,†,0,,
167,Ivory Gull,†,0,END,
168,Sabine's Gull,†,0,,
170,Black-headed Gull,†,0,,
172,Ross's Gull,†,0,THR,
173,Laughing Gull,†,0,,
174,Franklin's Gull,†,0,,
175,Black-tailed Gull,†,0,,
176,Heermann's Gull,†,0,,
177,Mew Gull,†,0,,
182,Iceland Gull,†,0,,
183,Lesser Black-backed Gull,†,0,,
184,Slaty-backed Gull,†,0,,
185,Glaucous Gull,†,0,,
187,Kelp Gull,†,0,,
188,Sooty Tern,†,0,,
189,Least Tern,†,0,,
192,White-winged Tern,†,0,,
196,Royal Tern,†,0,,
197,Sandwich Tern,†,0,,
198,Elegant Tern,†,0,,
199,Black Skimmer,†,0,,
203,Yellow-billed Loon,†,0,,
204,Yellow-nosed Albatross,†,0,,
205,Northern Fulmar,†,0,,
206,Black-capped Petrel,†,0,,
208,Great Shearwater,†,0,,
209,Manx Shearwater,†,0,,
210,Audubon's Shearwater,†,0,,
211,Wilson's Storm-Petrel,†,0,,
212,Leach's Storm-Petrel,†,0,,
213,Band-rumped Storm-Petrel,†,0,,
214,Wood Stork,†,0,,
215,Magnificent Frigatebird,†,0,,
216,Brown Booby,†,0,,
217,Northern Gannet,†,0,,
218,Neotropic Cormorant,†,0,,
220,Great Cormorant,†,0,,
221,Anhinga,†,0,,
223,Brown Pelican,†,0,,
228,Little Egret,†,0,,
230,Little Blue Heron,†,0,,
231,Tricolored Heron,†,0,,
235,Yellow-crowned Night-Heron,†,0,,
236,White Ibis,†,0,,
237,Glossy Ibis,†,0,,
238,White-faced Ibis,†,0,,
239,Roseate Spoonbill,†,0,,
243,Swallow-tailed Kite,†,0,,
252,Swainson's Hawk,†,0,,
256,Ferruginous Hawk,†,0,THR,
261,Snowy Owl,†,0,,
263,Burrowing Owl,†,0,END,
271,Lewis's Woodpecker,†,0,THR,
281,Crested Caracara,†,0,,
284,Gyrfalcon,†,0,,
286,Prairie Falcon,†,0,,
288,Western Wood-Pewee,†,0,,
295,Gray Flycatcher,†,0,,
296,Dusky Flycatcher,†,0,,
298,Say's Phoebe,†,0,,
299,Vermilion Flycatcher,†,0,,
300,Ash-throated Flycatcher,†,0,,
302,Sulphur-bellied Flycatcher,†,0,,
303,Variegated Flycatcher,†,0,,
304,Tropical Kingbird,†,0,,
305,Cassin's Kingbird,†,0,,
306,Thick-billed Kingbird,†,0,,
309,Gray Kingbird,†,0,,
310,Scissor-tailed Flycatcher,†,0,,
311,Fork-tailed Flycatcher,†,0,,
314,Black-capped Vireo,†,0,,
316,Bell's Vireo,†,0,,
319,Plumbeous Vireo,†,0,,
325,Clark's Nutcracker,†,0,,
327,Eurasian Jackdaw,†,0,,
338,Cave Swallow,†,0,,
340,Carolina Chickadee,†,0,,
347,Rock Wren,†,0,,
357,Siberian Rubythroat,†,0,,
360,Mountain Bluebird,†,0,,
361,Townsend's Solitaire,†,0,,
364,Bicknell's Thrush,†,0,THR,
368,Eurasian Blackbird,†,0,,
369,Fieldfare,†,0,,
371,Varied Thrush,†,0,,
374,Sage Thrasher,†,0,THR,
379,Phainopepla,†,0,,
381,Eurasian Tree Sparrow,†,0,,
382,White Wagtail,†,0,,
385,Brambling,†,0,,
388,Gray-crowned Rosy-Finch,†,0,,
391,Cassin's Finch,†,0,,
397,Lesser Goldfinch,†,0,,
400,Chestnut-collared Longspur,†,0,END,
402,McCown's Longspur,†,0,THR,
404,Green-tailed Towhee,†,0,,
405,Spotted Towhee,†,0,,
407,Cassin's Sparrow,†,0,,
408,Bachman's Sparrow,†,0,,
412,Brewer's Sparrow,†,0,,
416,Black-throated Sparrow,†,0,,
421,Baird's Sparrow,†,0,SC,
432,Golden-crowned Sparrow,†,0,,
442,Hooded Oriole,†,0,,
443,Bullock's Oriole,†,0,,
445,Scott's Oriole,†,0,,
451,Great-tailed Grackle,†,0,,
460,Swainson's Warbler,†,0,,
464,Virginia's Warbler,†,0,,
488,Grace's Warbler,†,0,,
489,Black-throated Gray Warbler,†,0,,
490,Townsend's Warbler,†,0,,
491,Hermit Warbler,†,0,,
495,Painted Redstart,†,0,,
498,Western Tanager,†,0,,
500,Pyrrhuloxia,†,0,,
502,Black-headed Grosbeak,†,0,,
504,Lazuli Bunting,†,0,,
506,Varied Bunting,†,0,,
507,Painted Bunting,†,0,,
